[2024-12-15 00:49:18] [info] Log initialize done.
[2024-12-15 00:49:18] [info] Engine initialize done.
[2024-12-15 00:49:20] [debug] frame per sec : 212765.97, delta time 4.7e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 212765.97, delta time 4.7e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 217391.3, delta time 4.6e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 212765.97, delta time 4.7e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 188679.25, delta time 5.3e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 217391.3, delta time 4.6e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 212765.97, delta time 4.7e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 208333.33, delta time 4.8e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 208333.33, delta time 4.8e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 217391.3, delta time 4.6e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 212765.97, delta time 4.7e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 212765.97, delta time 4.7e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 208333.33, delta time 4.8e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 217391.3, delta time 4.6e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 212765.97, delta time 4.7e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 212765.97, delta time 4.7e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 212765.97, delta time 4.7e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 212765.97, delta time 4.7e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 204081.62, delta time 4.9e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 212765.97, delta time 4.7e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 212765.97, delta time 4.7e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 212765.97, delta time 4.7e-06, sex sex sex!!
[2024-12-15 00:49:20] [debug] frame per sec : 212765.97, delta time 4.7e-06, sex sex sex!!
